,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Other,State Codes
0,0.004012880852117909,0.0,0.021154322516720336,0.02085707208323012,0.04429031459004211,0.00014862521674510775,0.0031706712905622985,0.0,0.005895466930889274,0.01515977210800099,9.908347783007183e-05,0.20530096606390885,0,0.6799108248699529,1
3,0.01770780429998307,0.0031149483663450144,0.4902996444895886,0.01239207719654647,0.023395970882004402,0.014762146605722025,0.015947181310309803,6.771626883358727e-05,0.03070932791603183,0.10035551041137633,0.003250380904012189,0.47022177078043,0,0.0,4
4,0.002912621359223301,0.0,0.09579288025889968,0.000970873786407767,0.10129449838187703,0.000970873786407767,0.004530744336569579,0.0,0.0006472491909385113,0.000970873786407767,0.0,0.045307443365695796,0,0.7466019417475728,5
5,0.005603575080901616,0.0006233977277503047,0.05397993920121037,0.0014254094112043484,0.12117380889007187,0.0009981368112856003,0.01106706078478069,1.751117212781755e-05,0.02180491153355841,0.032784416457700014,0.0008720563719653139,0.08557009371979322,0,0.6640796828376504,6
7,0.0144718842249262,0.0027359781121751026,0.22391820865433076,0.007919936640506876,0.062351501187990495,0.009647922816617468,0.006839945280437756,7.199942400460797e-05,0.014687882496940025,0.028871769025847795,0.0028799769601843186,0.2448700410396717,0,0.38073295413636693,8
8,0.004817471362809121,0.0,0.028904828176854726,0.0026763729793384005,0.14002783427898513,0.0009634942725618242,0.0012846590300824323,0.0,0.00032116475752060807,0.013167755058344931,0.0,0.030403597045284232,0,0.7774328230382186,9
9,0.0129136400322841,0.0,0.13236481033091202,0.003228410008071025,0.041969330104923326,0.006860371267150928,0.011702986279257466,0.0,0.002824858757062147,0.029459241323648102,0.0,0.25544794188861986,0,0.5032284100080711,10
10,0.09498480243161095,0.00037993920972644377,0.23100303951367782,0.0007598784194528875,0.16261398176291794,0.00037993920972644377,0.020896656534954407,0.0,0.04559270516717325,0.028495440729483283,0.00037993920972644377,0.31876899696048633,0,0.09574468085106383,11
11,0.007870391678556635,0.0002991669351498136,0.22178242125772848,0.0021785489636550527,0.060117212071002284,0.002830579463340544,0.005431030515027385,7.670947055123425e-05,0.05451742072076218,0.016354459121523144,0.0014728218345836977,0.22074684340528683,0,0.4063223945628327,12
12,0.001920860545524395,0.0,0.045972595722883855,0.0036282921415460795,0.09941520467836257,0.0005122294788065053,0.0054637811072693904,0.0,0.000768344218209758,0.0053357237375677635,0.0,0.09309770777308234,0,0.7438852605967473,13
15,0.00517464424320828,0.0,0.19059939629150496,0.0038809831824062097,0.050452781371280724,0.007761966364812419,0.0038809831824062097,0.0,0.009918068132815868,0.01164294954721863,0.0,0.10651142733937041,0,0.6101768003449762,16
