,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Other,State Codes
0,0.003482690508368853,0.0,0.027601621790206882,0.02536646221020896,0.02547042312090654,0.00010396091069757771,0.0020792182139515543,0.0,0.007121322382784073,0.01361887930138268,0.0,0.24825865474581557,0,0.6468967668156773,1
3,0.017611806433201517,0.0017530270292307065,0.4418851155774797,0.007909005666761792,0.02254474295731583,0.01598108361531249,0.015818011333523584,0.0,0.02111786049166293,0.12042888010110482,0.0018345631701251579,0.41261364099637166,0,0.0,4
4,0.0030272452068617556,0.0,0.012108980827447022,0.0,0.17558022199798184,0.0,0.005045408678102927,0.0,0.0,0.0030272452068617556,0.0,0.02320887991927346,0,0.7780020181634713,5
5,0.005537466913400951,0.00042631936473729823,0.051837623855145114,0.0013398608606029374,0.13052399803237216,0.0008620083858424492,0.011449720081516011,2.3424140919631773e-05,0.024778056264786488,0.02816987186994917,0.0006980393994050269,0.09234264833337237,0,0.6520109624979504,6
7,0.016572077185017027,0.0017593643586833144,0.2014755959137344,0.006696935300794552,0.05102156640181612,0.010045402951191827,0.00681044267877412,0.0,0.019920544835414302,0.033087400681044266,0.0018728717366628832,0.20425652667423383,0,0.4464812712826334,8
8,0.006597031335898846,0.0,0.04617921935129192,0.000916254352208173,0.08649441084845153,0.0003665017408832692,0.0012827560930914422,0.0,0.0010995052226498076,0.021806853582554516,0.0,0.04526296499908375,0,0.7899945024738868,9
9,0.018518518518518517,0.0,0.15246913580246912,0.003703703703703704,0.009876543209876543,0.0030864197530864196,0.001851851851851852,0.0,0.0012345679012345679,0.03641975308641975,0.0,0.32592592592592595,0,0.4469135802469136,10
10,0.13180901143241425,0.0013449899125756557,0.3133826496301278,0.0026899798251513113,0.09347679892400806,0.0020174848688634837,0.02757229320780094,0.0,0.06859448554135844,0.05110961667787491,0.0020174848688634837,0.3644922663080027,0,0.0,11
11,0.003664218327723708,9.948104057168438e-05,0.2052625470462421,0.002818629482864391,0.05856117254986487,0.002934690696864689,0.0048911511614411485,0.00016580173428614063,0.029313746621789663,0.009583340241738928,0.0011108716197171422,0.2666423490789714,0,0.4149520003979242,12
12,0.004806476094105743,0.0,0.07264524833459819,0.0034572898220760605,0.08453495235685977,0.0005059448520111307,0.008938359052196644,0.0,0.0027826966860612194,0.006703769289147483,0.0011383759170250443,0.11683109874357028,0,0.6976557888523485,13
15,0.0,0.0,0.019855595667870037,0.0,0.061371841155234655,0.0,0.0018050541516245488,0.0,0.0,0.007220216606498195,0.0,0.01263537906137184,0,0.8971119133574007,16
16,0.0250388101557414,0.0,0.2314587610796735,0.000250388101557414,0.06990835795482998,0.009915368821673595,0.02754269117131554,0.000250388101557414,0.0820772196905203,0.032300065100906404,0.0001502328609344484,0.3590565376333317,0,0.16205117932795834,17
17,0.0057900154400411736,0.0,0.09521358723623263,0.005275347400926403,0.04439011837364899,0.0016726711271230056,0.004503345342254246,0.0,0.008878023674729799,0.007720020586721565,0.0002573340195573855,0.14925373134328357,0,0.6770458054554812,18
18,0.0038705137227304713,0.0,0.07459535538353272,0.004574243490499648,0.036593947923997186,0.001055594651653765,0.0017593244194229415,0.0,0.0038705137227304713,0.02040816326530612,0.0,0.08866995073891626,0,0.7646023926812104,19
19,0.0,0.0,0.010526315789473684,0.0005012531328320802,0.1268170426065163,0.0,0.002506265664160401,0.0,0.0,0.004511278195488722,0.0,0.03458646616541353,0,0.8205513784461153,20
20,0.0117096018735363,0.0,0.11226580796252927,0.0010245901639344263,0.06162177985948478,0.0002927400468384075,0.00117096018735363,0.000585480093676815,0.03351873536299766,0.008782201405152224,0.0,0.1681791569086651,0,0.6008489461358314,21
21,0.007218124341412013,0.0007376185458377239,0.05590094836670179,0.001738672286617492,0.02349841938883035,0.0005795574288724974,0.02207586933614331,0.0,0.017755532139093783,0.0072708113804004215,0.0009483667017913594,0.23719704952581666,0,0.6250790305584826,22
22,0.0,0.0,0.007861635220125786,0.015723270440251572,0.08962264150943396,0.0,0.0015723270440251573,0.0,0.0,0.0047169811320754715,0.0,0.012578616352201259,0,0.8679245283018868,23
23,0.009549029048306852,0.00016048788316482104,0.0839351628952014,0.0024875621890547263,0.1090515166104959,0.0007221954742416948,0.0034504894880436525,0.0,0.0213448884609212,0.011394639704702295,0.005135612261274273,0.15350666024715134,0,0.5992617557374418,24
24,0.04888223339394588,0.0002139266231682533,0.14547010375441224,0.005989945448711092,0.10963739437372981,0.0004278532463365066,0.010589367846828538,0.0,0.07712054765215531,0.04396192106107605,0.0003208899347523799,0.14450743395015508,0,0.4128783827147289,25
25,0.006630648330058939,0.0,0.07352652259332024,0.00014734774066797642,0.0956286836935167,0.0016699410609037329,0.0025049115913555993,4.911591355599214e-05,0.04263261296660118,0.004027504911591356,0.0,0.1456286836935167,0,0.6275540275049116,26
